Transaction_ID,Date,Product_ID,Product_Name,Category,Quantity,Price,Revenue,Cost,Net_Profit,Region,Channel,Customer_Segment,CAC
TX-100048,2025-09-14 19:21:08,P015,HydroDash Insulated Flask,Fitness & Sports,1,25,25,8,17,Latin America,Affiliate,New,3
TX-100050,2025-09-16 06:23:32,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,50,50,18,32,Europe,In-Store,New,5
TX-100052,2025-09-17 17:25:56,P008,Voyager Anti-Theft Backpack,Fashion,1,75,75,25,50,North America,In-Store,Returning,0
TX-100053,2025-09-18 10:57:08,P006,Stratus Comfort Sneakers,Fashion,1,85,85,30,55,Europe,In-Store,New,11
TX-100054,2025-09-19 04:28:20,P008,Voyager Anti-Theft Backpack,Fashion,1,75,75,25,50,Europe,Online,New,22
TX-100055,2025-09-19 21:59:32,P015,HydroDash Insulated Flask,Fitness & Sports,1,28,28,8,20,Asia-Pacific,In-Store,New,11
TX-100056,2025-09-20 15:30:44,P003,Quantum Charge Wireless Pad,Electronics,3,49,147,45,102,Asia-Pacific,In-Store,Returning,0
TX-100057,2025-09-21 09:01:56,P009,Nova Glow LED Desk Lamp,Home & Living,1,40,40,14,26,Europe,Affiliate,Returning,0
TX-100058,2025-09-22 02:33:08,P011,Helix Memory Foam Pillow,Home & Living,2,80,160,64,96,Latin America,Affiliate,New,19
TX-100059,2025-09-22 20:04:20,P002,SoundSync ANC Headphones,Electronics,1,199,199,85,114,North America,Online,New,25
TX-100060,2025-09-23 13:35:32,P004,AeroGlide Smart Watch,Electronics,1,299,299,130,169,Asia-Pacific,Affiliate,Returning,0
TX-100061,2025-09-24 07:06:44,P005,Luxe Linen Blazer,Fashion,1,120,120,40,80,Europe,In-Store,Returning,0
TX-100062,2025-09-25 00:37:56,P018,HydroBloom Nourishing Cream,Beauty & Care,1,38,38,10,28,North America,In-Store,Returning,0
TX-100063,2025-09-25 18:09:08,P011,Helix Memory Foam Pillow,Home & Living,1,80,80,32,48,Latin America,In-Store,Returning,0
TX-100064,2025-09-26 11:40:20,P006,Stratus Comfort Sneakers,Fashion,1,85,85,30,55,Europe,In-Store,Returning,0
TX-100065,2025-09-27 05:11:32,P007,Core Denim Slim Fit,Fashion,2,65,130,44,86,Europe,Online,New,17
TX-100066,2025-09-27 22:42:44,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,2,110,220,96,124,Europe,Affiliate,Returning,0
TX-100067,2025-09-28 16:13:56,P001,AuraBook Pro 15,Electronics,2,1299,2598,1560,1038,North America,In-Store,New,5
TX-100068,2025-09-29 09:45:08,P004,AeroGlide Smart Watch,Electronics,2,299,598,260,338,Latin America,Online,Returning,0
TX-100071,2025-10-01 14:18:44,P017,DermaBright Serum Duo,Beauty & Care,1,55,55,14,41,Latin America,Affiliate,Returning,0
TX-100072,2025-10-02 07:49:56,P009,Nova Glow LED Desk Lamp,Home & Living,3,45,135,42,93,Europe,Affiliate,Returning,0
TX-100073,2025-10-03 01:21:08,P015,HydroDash Insulated Flask,Fitness & Sports,1,30,30,8,22,North America,Affiliate,Returning,0
TX-100074,2025-10-03 18:52:20,P018,HydroBloom Nourishing Cream,Beauty & Care,1,38,38,10,28,North America,Online,New,19
TX-100075,2025-10-04 12:23:32,P003,Quantum Charge Wireless Pad,Electronics,2,44,88,30,58,Latin America,In-Store,Returning,0
TX-100076,2025-10-05 05:54:44,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,2,99,198,96,102,North America,Affiliate,Returning,0
TX-100077,2025-10-05 23:25:56,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,Latin America,Affiliate,New,29
TX-100078,2025-10-06 16:57:08,P001,AuraBook Pro 15,Electronics,1,1299,1299,780,519,Latin America,In-Store,Returning,0
TX-100080,2025-10-08 03:59:32,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,North America,Online,Returning,0
TX-100081,2025-10-08 21:30:44,P009,Nova Glow LED Desk Lamp,Home & Living,2,45,90,28,62,Latin America,In-Store,New,11
TX-100082,2025-10-09 15:01:56,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,1,40,40,12,28,Asia-Pacific,Online,Returning,0
TX-100083,2025-10-10 08:33:08,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,50,50,18,32,Europe,Affiliate,New,6
TX-100085,2025-10-11 19:35:32,P001,AuraBook Pro 15,Electronics,1,1299,1299,780,519,Europe,Online,New,21
TX-100086,2025-10-12 13:06:44,P009,Nova Glow LED Desk Lamp,Home & Living,1,45,45,14,31,Asia-Pacific,Online,New,18
TX-100087,2025-10-13 06:37:56,P010,Ember Ceramic Coffee Mug Set,Home & Living,1,35,35,10,25,Latin America,In-Store,New,15
TX-100088,2025-10-14 00:09:08,P010,Ember Ceramic Coffee Mug Set,Home & Living,2,35,70,20,50,North America,Affiliate,New,8
TX-100089,2025-10-14 17:40:20,P003,Quantum Charge Wireless Pad,Electronics,1,49,49,15,34,Asia-Pacific,Online,Returning,0
TX-100090,2025-10-15 11:11:32,P015,HydroDash Insulated Flask,Fitness & Sports,5,30,150,40,110,Europe,In-Store,New,15
TX-100091,2025-10-16 04:42:44,P018,HydroBloom Nourishing Cream,Beauty & Care,5,38,190,50,140,Latin America,In-Store,Returning,0
TX-100092,2025-10-16 22:13:56,P008,Voyager Anti-Theft Backpack,Fashion,2,75,150,50,100,Europe,In-Store,Returning,0
TX-100093,2025-10-17 15:45:08,P011,Helix Memory Foam Pillow,Home & Living,1,80,80,32,48,North America,In-Store,Returning,0
TX-100094,2025-10-18 09:16:20,P009,Nova Glow LED Desk Lamp,Home & Living,3,42,126,42,84,Asia-Pacific,In-Store,Returning,0
TX-100095,2025-10-19 02:47:32,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,5,40,200,60,140,Latin America,Affiliate,New,24
TX-100096,2025-10-19 20:18:44,P015,HydroDash Insulated Flask,Fitness & Sports,1,30,30,8,22,North America,Online,Returning,0
TX-100097,2025-10-20 13:49:56,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,2,110,220,96,124,Asia-Pacific,In-Store,Returning,0
TX-100098,2025-10-21 07:21:08,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,50,50,18,32,Latin America,In-Store,Returning,0
TX-100099,2025-10-22 00:52:20,P011,Helix Memory Foam Pillow,Home & Living,1,80,80,32,48,North America,Affiliate,New,9
TX-100100,2025-10-22 18:23:32,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,1,110,110,48,62,Asia-Pacific,Online,New,20
TX-100101,2025-10-23 11:54:44,P018,HydroBloom Nourishing Cream,Beauty & Care,1,38,38,10,28,Europe,In-Store,New,7
TX-100102,2025-10-24 05:25:56,P016,SonicPulse Smart Jump Rope,Fitness & Sports,2,45,90,30,60,North America,Online,Returning,0
TX-100103,2025-10-24 22:57:08,P002,SoundSync ANC Headphones,Electronics,2,199,398,170,228,Asia-Pacific,In-Store,New,14
TX-100104,2025-10-25 16:28:20,P002,SoundSync ANC Headphones,Electronics,1,179,179,85,94,North America,Online,Returning,0
TX-100105,2025-10-26 09:59:32,P020,HerbalPure Charcoal Mask Set,Beauty & Care,2,28,56,12,44,Europe,Affiliate,Returning,0
TX-100106,2025-10-27 03:30:44,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,3,110,330,144,186,Latin America,In-Store,New,6
TX-100108,2025-10-28 14:33:08,P007,Core Denim Slim Fit,Fashion,1,65,65,22,43,Europe,Affiliate,New,7
TX-100109,2025-10-29 08:04:20,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,2,36,72,24,48,Latin America,Affiliate,Returning,0
TX-100110,2025-10-30 01:35:32,P015,HydroDash Insulated Flask,Fitness & Sports,2,30,60,16,44,North America,Affiliate,New,7
TX-100111,2025-10-30 19:06:44,P007,Core Denim Slim Fit,Fashion,1,65,65,22,43,Latin America,Online,New,17
TX-100112,2025-10-31 12:37:56,P010,Ember Ceramic Coffee Mug Set,Home & Living,2,35,70,20,50,Asia-Pacific,In-Store,New,11
TX-100113,2025-11-01 06:09:08,P017,DermaBright Serum Duo,Beauty & Care,3,49,147,42,105,Latin America,In-Store,New,10
TX-100114,2025-11-01 23:40:20,P001,AuraBook Pro 15,Electronics,2,1299,2598,1560,1038,North America,Online,New,33
TX-100115,2025-11-02 17:11:32,P006,Stratus Comfort Sneakers,Fashion,1,85,85,30,55,Latin America,Affiliate,Returning,0
TX-100116,2025-11-03 10:42:44,P016,SonicPulse Smart Jump Rope,Fitness & Sports,2,45,90,30,60,North America,In-Store,Returning,0
TX-100117,2025-11-04 04:13:56,P006,Stratus Comfort Sneakers,Fashion,2,85,170,60,110,Europe,In-Store,Returning,0
TX-100118,2025-11-04 21:45:08,P015,HydroDash Insulated Flask,Fitness & Sports,2,27,54,16,38,North America,In-Store,Returning,0
TX-100119,2025-11-05 15:16:20,P001,AuraBook Pro 15,Electronics,1,1299,1299,780,519,North America,In-Store,New,12
TX-100120,2025-11-06 08:47:32,P002,SoundSync ANC Headphones,Electronics,2,199,398,170,228,Europe,In-Store,New,12
TX-100121,2025-11-07 02:18:44,P020,HerbalPure Charcoal Mask Set,Beauty & Care,2,28,56,12,44,Europe,Affiliate,New,6
TX-100122,2025-11-07 19:49:56,P003,Quantum Charge Wireless Pad,Electronics,5,49,245,75,170,Europe,Online,Returning,0
TX-100123,2025-11-08 13:21:08,P010,Ember Ceramic Coffee Mug Set,Home & Living,2,35,70,20,50,Asia-Pacific,In-Store,Returning,0
TX-100124,2025-11-09 06:52:20,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,Europe,Affiliate,New,29
TX-100125,2025-11-10 00:23:32,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,1,40,40,12,28,Asia-Pacific,Affiliate,Returning,0
TX-100126,2025-11-10 17:54:44,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,3,110,330,144,186,Latin America,Online,Returning,0
TX-100127,2025-11-11 11:25:56,P018,HydroBloom Nourishing Cream,Beauty & Care,1,38,38,10,28,Latin America,In-Store,Returning,0
TX-100128,2025-11-12 04:57:08,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,Europe,In-Store,New,11
TX-100129,2025-11-12 22:28:20,P005,Luxe Linen Blazer,Fashion,3,120,360,120,240,Latin America,Online,New,18
TX-100130,2025-11-13 15:59:32,P015,HydroDash Insulated Flask,Fitness & Sports,1,30,30,8,22,North America,Affiliate,Returning,0
TX-100131,2025-11-14 09:30:44,P005,Luxe Linen Blazer,Fashion,2,120,240,80,160,Europe,In-Store,Returning,0
TX-100132,2025-11-15 03:01:56,P018,HydroBloom Nourishing Cream,Beauty & Care,3,36,108,30,78,Latin America,In-Store,Returning,0
TX-100133,2025-11-15 20:33:08,P010,Ember Ceramic Coffee Mug Set,Home & Living,2,35,70,20,50,Europe,Affiliate,New,8
TX-100134,2025-11-16 14:04:20,P004,AeroGlide Smart Watch,Electronics,1,299,299,130,169,Latin America,Online,Returning,0
TX-100135,2025-11-17 07:35:32,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,50,50,18,32,Asia-Pacific,In-Store,New,14
TX-100136,2025-11-18 01:06:44,P006,Stratus Comfort Sneakers,Fashion,2,85,170,60,110,Europe,Online,New,22
TX-100137,2025-11-18 18:37:56,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,1,110,110,48,62,Europe,Online,Returning,0
TX-100138,2025-11-19 12:09:08,P015,HydroDash Insulated Flask,Fitness & Sports,1,30,30,8,22,Asia-Pacific,Affiliate,New,3
TX-100139,2025-11-20 05:40:20,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,1,110,110,48,62,Asia-Pacific,Affiliate,Returning,0
TX-100140,2025-11-20 23:11:32,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,Latin America,Online,New,33
TX-100141,2025-11-21 16:42:44,P010,Ember Ceramic Coffee Mug Set,Home & Living,2,29,58,20,38,North America,Affiliate,Returning,0
TX-100142,2025-11-22 10:13:56,P002,SoundSync ANC Headphones,Electronics,1,199,199,85,114,Latin America,In-Store,New,8
TX-100143,2025-11-23 03:45:08,P005,Luxe Linen Blazer,Fashion,2,108,216,80,136,Europe,Affiliate,New,25
TX-100144,2025-11-23 21:16:20,P003,Quantum Charge Wireless Pad,Electronics,1,49,49,15,34,North America,In-Store,Returning,0
TX-100145,2025-11-24 14:47:32,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,2,50,100,36,64,Asia-Pacific,Online,Returning,0
TX-100146,2025-11-25 08:18:44,P011,Helix Memory Foam Pillow,Home & Living,1,80,80,32,48,North America,In-Store,New,8
TX-100147,2025-11-26 01:49:56,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,Asia-Pacific,Online,Returning,0
TX-100148,2025-11-26 19:21:08,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,47,47,18,29,Asia-Pacific,Affiliate,Returning,0
TX-100149,2025-11-27 12:52:20,P020,HerbalPure Charcoal Mask Set,Beauty & Care,5,25,125,30,95,Asia-Pacific,Affiliate,New,15
TX-100150,2025-11-28 06:23:32,P010,Ember Ceramic Coffee Mug Set,Home & Living,1,35,35,10,25,Latin America,Online,New,24
TX-100151,2025-11-28 23:54:44,P004,AeroGlide Smart Watch,Electronics,1,299,299,130,169,North America,Online,New,32
TX-100152,2025-11-29 17:25:56,P005,Luxe Linen Blazer,Fashion,3,120,360,120,240,Latin America,Affiliate,New,43
TX-100153,2025-11-30 10:57:08,P002,SoundSync ANC Headphones,Electronics,1,199,199,85,114,North America,Online,Returning,0
TX-100154,2025-12-01 04:28:20,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,50,50,18,32,Asia-Pacific,Online,Returning,0
TX-100155,2025-12-01 21:59:32,P015,HydroDash Insulated Flask,Fitness & Sports,5,30,150,40,110,North America,Affiliate,New,18
TX-100156,2025-12-02 15:30:44,P002,SoundSync ANC Headphones,Electronics,1,169,169,85,84,Asia-Pacific,Online,New,21
TX-100157,2025-12-03 09:01:56,P008,Voyager Anti-Theft Backpack,Fashion,1,75,75,25,50,Europe,Online,New,32
TX-100158,2025-12-04 02:33:08,P006,Stratus Comfort Sneakers,Fashion,1,85,85,30,55,Europe,Affiliate,New,10
TX-100159,2025-12-04 20:04:20,P011,Helix Memory Foam Pillow,Home & Living,1,72,72,32,40,North America,Online,Returning,0
TX-100160,2025-12-05 13:35:32,P003,Quantum Charge Wireless Pad,Electronics,1,49,49,15,34,Latin America,In-Store,Returning,0
TX-100161,2025-12-06 07:06:44,P020,HerbalPure Charcoal Mask Set,Beauty & Care,2,28,56,12,44,North America,Affiliate,Returning,0
TX-100162,2025-12-07 00:37:56,P016,SonicPulse Smart Jump Rope,Fitness & Sports,2,45,90,30,60,Latin America,In-Store,New,12
TX-100163,2025-12-07 18:09:08,P003,Quantum Charge Wireless Pad,Electronics,2,49,98,30,68,North America,Affiliate,New,11
TX-100164,2025-12-08 11:40:20,P011,Helix Memory Foam Pillow,Home & Living,2,80,160,64,96,Latin America,Affiliate,Returning,0
TX-100165,2025-12-09 05:11:32,P004,AeroGlide Smart Watch,Electronics,1,299,299,130,169,Europe,In-Store,Returning,0
TX-100166,2025-12-09 22:42:44,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,2,40,80,24,56,North America,In-Store,Returning,0
TX-100167,2025-12-10 16:13:56,P005,Luxe Linen Blazer,Fashion,1,120,120,40,80,Latin America,Online,New,26
TX-100168,2025-12-11 09:45:08,P018,HydroBloom Nourishing Cream,Beauty & Care,5,34,170,50,120,North America,Affiliate,Returning,0
TX-100169,2025-12-12 03:16:20,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,2,34,68,24,44,North America,In-Store,Returning,0
TX-100170,2025-12-12 20:47:32,P016,SonicPulse Smart Jump Rope,Fitness & Sports,3,45,135,45,90,Europe,Online,Returning,0
TX-100171,2025-12-13 14:18:44,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,3,110,330,144,186,Europe,In-Store,New,9
TX-100172,2025-12-14 07:49:56,P009,Nova Glow LED Desk Lamp,Home & Living,1,45,45,14,31,Asia-Pacific,In-Store,Returning,0
TX-100173,2025-12-15 01:21:08,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,North America,Online,New,21
TX-100174,2025-12-15 18:52:20,P015,HydroDash Insulated Flask,Fitness & Sports,2,30,60,16,44,Asia-Pacific,Online,Returning,0
TX-100175,2025-12-16 12:23:32,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,1,110,110,48,62,North America,Online,New,16
TX-100176,2025-12-17 05:54:44,P009,Nova Glow LED Desk Lamp,Home & Living,2,45,90,28,62,Latin America,Affiliate,Returning,0
TX-100177,2025-12-17 23:25:56,P007,Core Denim Slim Fit,Fashion,3,65,195,66,129,Europe,In-Store,Returning,0
TX-100178,2025-12-18 16:57:08,P002,SoundSync ANC Headphones,Electronics,1,199,199,85,114,North America,In-Store,New,7
TX-100179,2025-12-19 10:28:20,P010,Ember Ceramic Coffee Mug Set,Home & Living,2,35,70,20,50,Asia-Pacific,Online,New,20
TX-100180,2025-12-20 03:59:32,P018,HydroBloom Nourishing Cream,Beauty & Care,1,38,38,10,28,Europe,Affiliate,Returning,0
TX-100181,2025-12-20 21:30:44,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,2,40,80,24,56,North America,In-Store,New,14
TX-100182,2025-12-21 15:01:56,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,1,40,40,12,28,Asia-Pacific,Online,Returning,0
TX-100183,2025-12-22 08:33:08,P020,HerbalPure Charcoal Mask Set,Beauty & Care,1,28,28,6,22,Latin America,Affiliate,Returning,0
TX-100184,2025-12-23 02:04:20,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,2,40,80,24,56,Latin America,Affiliate,New,9
TX-100185,2025-12-23 19:35:32,P008,Voyager Anti-Theft Backpack,Fashion,1,75,75,25,50,Asia-Pacific,Online,New,21
TX-100186,2025-12-24 13:06:44,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,45,45,18,27,Asia-Pacific,Affiliate,New,5
TX-100187,2025-12-25 06:37:56,P020,HerbalPure Charcoal Mask Set,Beauty & Care,1,28,28,6,22,Europe,Affiliate,New,3
TX-100188,2025-12-26 00:09:08,P015,HydroDash Insulated Flask,Fitness & Sports,5,30,150,40,110,Latin America,Affiliate,Returning,0
TX-100189,2025-12-26 17:40:20,P016,SonicPulse Smart Jump Rope,Fitness & Sports,2,45,90,30,60,Latin America,Affiliate,Returning,0
TX-100190,2025-12-27 11:11:32,P003,Quantum Charge Wireless Pad,Electronics,2,49,98,30,68,North America,In-Store,Returning,0
TX-100191,2025-12-28 04:42:44,P003,Quantum Charge Wireless Pad,Electronics,3,49,147,45,102,North America,In-Store,New,10
TX-100192,2025-12-28 22:13:56,P017,DermaBright Serum Duo,Beauty & Care,1,55,55,14,41,Europe,Online,Returning,0
TX-100193,2025-12-29 15:45:08,P003,Quantum Charge Wireless Pad,Electronics,2,49,98,30,68,Europe,Online,New,34
TX-100194,2025-12-30 09:16:20,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,50,50,18,32,Asia-Pacific,In-Store,Returning,0
TX-100195,2025-12-31 02:47:32,P011,Helix Memory Foam Pillow,Home & Living,3,80,240,96,144,North America,In-Store,New,9
TX-100196,2025-12-31 20:18:44,P020,HerbalPure Charcoal Mask Set,Beauty & Care,3,28,84,18,66,Europe,In-Store,New,10
TX-100197,2026-01-01 13:49:56,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,Europe,Affiliate,New,29
TX-100198,2026-01-02 07:21:08,P011,Helix Memory Foam Pillow,Home & Living,2,80,160,64,96,Europe,Affiliate,New,19
TX-100199,2026-01-03 00:52:20,P010,Ember Ceramic Coffee Mug Set,Home & Living,2,35,70,20,50,Europe,Online,Returning,0
TX-100201,2026-01-04 11:54:44,P010,Ember Ceramic Coffee Mug Set,Home & Living,5,35,175,50,125,North America,Affiliate,New,21
TX-100202,2026-01-05 05:25:56,P005,Luxe Linen Blazer,Fashion,3,120,360,120,240,Europe,Online,New,20
TX-100203,2026-01-05 22:57:08,P002,SoundSync ANC Headphones,Electronics,3,199,597,255,342,Latin America,In-Store,New,12
TX-100204,2026-01-06 16:28:20,P008,Voyager Anti-Theft Backpack,Fashion,3,75,225,75,150,Europe,In-Store,New,12
TX-100205,2026-01-07 09:59:32,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,2,224,448,240,208,Latin America,Online,New,16
TX-100206,2026-01-08 03:30:44,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,47,47,18,29,North America,Affiliate,New,5
TX-100207,2026-01-08 21:01:56,P017,DermaBright Serum Duo,Beauty & Care,1,55,55,14,41,Europe,In-Store,New,10
TX-100209,2026-01-10 08:04:20,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,Asia-Pacific,Online,Returning,0
TX-100210,2026-01-11 01:35:32,P004,AeroGlide Smart Watch,Electronics,1,299,299,130,169,North America,Online,New,19
TX-100211,2026-01-11 19:06:44,P016,SonicPulse Smart Jump Rope,Fitness & Sports,1,42,42,15,27,Latin America,Affiliate,New,5
TX-100212,2026-01-12 12:37:56,P018,HydroBloom Nourishing Cream,Beauty & Care,1,38,38,10,28,Latin America,Online,Returning,0
TX-100213,2026-01-13 06:09:08,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,2,40,80,24,56,Latin America,Online,New,15
TX-100214,2026-01-13 23:40:20,P019,SilkDuo Ionic Hair Dryer,Beauty & Care,1,110,110,48,62,Europe,Affiliate,New,13
TX-100215,2026-01-14 17:11:32,P008,Voyager Anti-Theft Backpack,Fashion,1,63,63,25,38,Latin America,Online,New,32
TX-100216,2026-01-15 10:42:44,P017,DermaBright Serum Duo,Beauty & Care,1,55,55,14,41,North America,In-Store,Returning,0
